Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2008,2008,1000 US$,0,*,Unofficial figure
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2009,2009,1000 US$,7,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2010,2010,1000 US$,180,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2011,2011,1000 US$,104,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2012,2012,1000 US$,332,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2013,2013,1000 US$,288,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2014,2014,1000 US$,219,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2015,2015,1000 US$,133,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2016,2016,1000 US$,365,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2017,2017,1000 US$,156,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2018,2018,1000 US$,5,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2019,2019,1000 US$,61,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,2020,2020,1000 US$,277,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1961,1961,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1962,1962,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1963,1963,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1964,1964,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1965,1965,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1966,1966,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1967,1967,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1968,1968,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1969,1969,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1970,1970,1000 US$,0,,Official data
