Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Unit 1,Value 1
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2006,2006,ha,907300,hg/ha,492290
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2007,2007,ha,1028800,hg/ha,532092
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2008,2008,ha,1241300,hg/ha,514944
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2009,2009,ha,1029400,hg/ha,486161
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2010,2010,ha,942800,hg/ha,523684
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2011,2011,ha,987700,hg/ha,559973
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2012,2012,ha,1057600,hg/ha,552165
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2013,2013,ha,1172352,hg/ha,575425
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2014,2014,ha,1140492,hg/ha,550872
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2015,2015,ha,1131476,hg/ha,578734
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2016,2016,ha,1217508,hg/ha,619973
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2017,2017,ha,1341781,hg/ha,621061
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2018,2018,ha,1101946,hg/ha,609594
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2019,2019,ha,1039769,hg/ha,638407
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2020,2020,ha,1165030,hg/ha,695341
